Years,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
"Global.ap total import to from[CowSheepGoat, INDIA, INDIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, INDIA, RSASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, INDIA, EASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, INDIA, Japan]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, INDIA, RSEASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, INDIA, MALAINDO]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, INDIA, OCEANIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, RSASIA, CAN]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000517667061108,0.064539014155,0.136736595753,0.212160792348,0.289939768801,0.370056552931,0.467321888579,0.565293031584,0.657021594387,0.728579985661,0.794946637931,0.860706512594,0.926832121375,0.98971628932,1.04614621742
"Global.ap total import to from[CowSheepGoat, RSASIA, USA]",0,1.82822362383,4.6070438013,8.17850691487,7.90232005674,7.50012604298,7.65731537761,9.57957730412,8.95541363698,8.12391253604,7.55466223579,7.37589123896,7.81358534071,8.26914891203,8.60241765215,8.83652511571,9.03418231656,9.13154514329,9.14100088701,9.0757761544,8.94605081035,8.7846529722,8.52529654103,8.1462383817,7.6232803346,7.03312032399,6.4280322416,5.83661907262,5.2648881524,4.71816017022
"Global.ap total import to from[CowSheepGoat, RSASIA, CCAmerica]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, RSASIA, Brazil]",0,1.73596591084,0,0,0,0,0,0,0,0.0380668448356,0.0891407869981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, RSASIA, SOAmer]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, RSASIA, REurope]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, RSASIA, EU27]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, RSASIA, OthCEECIS]",0,1.73138920415,1.97451089154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, RSASIA, MEASNAfr]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, RSASIA, SSAFR]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, RSASIA, Russia]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, RSASIA, CHIHKG]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, RSASIA, INDIA]",0,0,0,0,0,0,0,0.48301142879,0.346950169177,0.313229360741,0.313458240824,0.27534887306,0.288968489974,0.30903846204,0.33036952245,0.35178954367,0.383571709112,0.417333361904,0.450288140105,0.484189848032,0.519842500599,0.577693233916,0.637887286374,0.700387399099,0.755716285094,0.806475902229,0.855058428452,0.9052811826,0.955851027792,1.00552581244
"Global.ap total import to from[CowSheepGoat, RSASIA, RSASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, RSASIA, EASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, RSASIA, Japan]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, RSASIA, RSEASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, RSASIA, MALAINDO]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, RSASIA, OCEANIA]",0,6.29260992735,14.4608169195,19.9390594861,18.1029888807,19.861867459,18.4362293584,24.6745824949,25.7542090686,24.554203098,23.2284419709,21.1288516323,21.6056671965,22.4193015316,23.2041383586,24.0132713672,25.3997256433,26.7219936259,27.9295106067,29.0869587296,30.2772896753,32.6069185092,35.4585800097,38.6806564932,41.5385874979,44.2932658592,46.9543726404,49.6738143817,52.3720325088,54.9791253904
"Global.ap total import to from[CowSheepGoat, EASIA, CAN]",5.06030420294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00680534084744,0.553109563401,1.06944335584,1.52349204843,1.89431721489,2.17781520899,2.37476936151,2.46398178679,2.55839508935,2.56482048791,2.53736116077,2.49360964286,2.44226850893,2.37738244644,2.29639707886
"Global.ap total import to from[CowSheepGoat, EASIA, USA]",10.6674570019,8.80809338181,12.9555607126,17.4178130332,18.5187071227,15.5928128775,19.1838315158,16.5667980448,12.6209275478,19.6575381149,15.4736398745,14.1104243961,14.6709237235,15.3101521282,15.6472696677,15.5086057457,14.826566514,13.9833406601,12.9993309844,11.8338158051,10.5833821782,9.13055551011,7.74696262883,6.73137766676,5.73499057109,4.82766563474,4.03287254471,3.35077031015,2.77055742152,2.28038684649
"Global.ap total import to from[CowSheepGoat, EASIA, CCAmerica]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, EASIA, Brazil]",68.4119872868,58.5052537283,0,0,0,0,0,0,0,1.79226329979,3.45571953996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, EASIA, SOAmer]",22.8051999611,20.6777830991,28.3069385547,38.9147976502,45.7728938484,46.0148812171,56.9782042311,55.6628602669,46.3730066634,73.9512553242,61.7842725058,57.3234915876,62.7373743953,69.0569428512,74.5971697144,77.6022851967,79.3693468313,80.5531254161,80.2584674001,78.2107402818,75.0391105878,71.9332777422,69.1272677032,69.168240986,67.7314072729,65.7560492918,63.6167132849,61.5860164357,59.5798889453,57.5473028904
"Global.ap total import to from[CowSheepGoat, EASIA, REurope]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, EASIA, EU27]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, EASIA, OthCEECIS]",0.483668904698,0.851930884903,0.550913925696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, EASIA, MEASNAfr]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, EASIA, SSAFR]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, EASIA, Russia]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, EASIA, CHIHKG]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, EASIA, INDIA]",14.8233799747,15.543754494,30.3409139758,50.355408502,63.9399707838,68.5948526059,87.9152185863,83.3144070914,73.6635369864,121.357057009,102.298774466,83.8110710638,86.2752797043,90.9418948535,95.4560544825,97.9910763789,99.8062453029,101.156404935,101.136132311,99.4417835753,96.5573564598,93.9098345521,90.2252469042,89.6135852082,87.5414379602,84.7720958156,81.7233846244,78.7819182049,75.8867129043,72.9892442956
"Global.ap total import to from[CowSheepGoat, EASIA, RSASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, EASIA, EASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, EASIA, Japan]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, EASIA, RSEASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, EASIA, MALAINDO]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, EASIA, OCEANIA]",93.7480026678,115.249099263,142.702900977,154.133464677,157.83199112,154.341489031,172.646649618,159.806533583,135.617682685,221.154227275,176.710380701,150.048389969,150.596463367,154.13723256,156.781455367,156.577425176,154.860502545,151.948517431,147.35478681,140.51729939,132.46920758,125.036469659,118.478036886,117.029381588,113.859082693,110.215146876,106.259066313,102.36827771,98.4706124206,94.5202833986
"Global.ap total import to from[CowSheepGoat, Japan, CAN]",18.7763796603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011075087881,0.928851822357,1.80300996233,2.58191021279,3.26800368477,3.85516240335,4.27834903266,4.50357230043,4.62320846339,4.6626942709,4.63958852048,4.58624470388,4.51829056753,4.42544341982,4.30248253488
"Global.ap total import to from[CowSheepGoat, Japan, USA]",73.3145261797,46.4388077941,50.5174999074,53.1728175821,53.942738575,38.9562796148,46.4923253611,39.0859177594,33.3141743596,36.5556657169,39.1609485157,38.0142357789,37.6809177994,37.4661613762,36.9782529043,35.8647143175,33.9916668518,32.0669537646,29.9236130055,27.7077304312,25.407147993,22.2447558901,19.1001848601,16.3764712823,14.0285654913,11.8649569497,9.96062960417,8.31987774085,6.91820791006,5.72855769472
"Global.ap total import to from[CowSheepGoat, Japan, CCAmerica]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, Japan, Brazil]",72.7771035434,43.0067621623,0,0,0,0,0,0,0,0.606227656662,1.62723739692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, Japan, SOAmer]",84.619239383,55.9788760825,57.6937656579,63.1712883718,70.9789217879,61.085832903,73.304550828,69.7127739662,64.9848574146,73.03572128,83.0882939641,82.0750902945,85.6664309277,89.886691792,93.820146239,95.5616656797,96.9403382055,98.4653995769,98.5354773774,97.7276677623,96.1989481848,93.6503593238,91.1466323917,90.0628384875,88.739659717,86.615326855,84.25795723,82.0413019924,79.8546960209,77.6290090714
"Global.ap total import to from[CowSheepGoat, Japan, REurope]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, Japan, EU27]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, Japan, OthCEECIS]",1.79466502809,1.69405762891,0.81502031282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, Japan, MEASNAfr]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, Japan, SSAFR]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, Japan, Russia]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, Japan, CHIHKG]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, Japan, INDIA]",55.0025055989,41.5860673532,58.2692664369,73.4189633823,87.5423460439,79.9902915298,99.2279204246,93.5198172489,91.7732099557,106.468501808,122.243906548,106.625327126,104.651636601,105.114139145,106.563609008,107.071643908,108.14339385,109.680237036,110.131467222,110.208888724,109.793744156,108.45008419,105.533998111,103.513075391,101.747273131,99.0582792013,96.0199360043,93.0996718006,90.2262831642,87.3413189691
"Global.ap total import to from[CowSheepGoat, Japan, RSASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, Japan, EASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, Japan, Japan]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, Japan, RSEASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, Japan, MALAINDO]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, Japan, OCEANIA]",617.715580607,545.260036198,492.075565565,421.496376052,414.694917112,348.170150004,377.773643245,340.416534817,323.230433816,371.443609634,404.069575294,365.251735094,349.484649807,340.78439836,334.710000484,327.086543298,320.711736951,314.799722837,306.505965593,297.382955091,287.553910263,275.578059201,264.411663673,257.88628005,252.434748152,245.657567252,238.134290091,230.739817129,223.308929099,215.732331529
"Global.ap total import to from[CowSheepGoat, RSEASIA, CAN]",2.93567272074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126365915456,1.02545546111,2.06317262476,3.08764237644,4.09821053038,5.09417082074,6.21311431246,7.25594575529,8.15663113692,8.85336102038,9.47610969628,10.0675963046,10.6467007963,11.1778426663,11.6343850966
"Global.ap total import to from[CowSheepGoat, RSEASIA, USA]",6.18859287196,7.43146818868,9.5887323963,15.0668500252,21.4994493307,22.723084307,23.758381616,31.2939808504,31.2966243636,29.6212814925,27.5066938777,26.6917315798,27.4649092079,28.0507638304,28.2357051548,28.0739755415,27.5642827382,27.0432964885,26.4058768729,25.6571883549,24.8074203667,23.9329540845,22.8529171586,21.4968303493,19.8293027225,18.0583191698,16.3073659898,14.6294976629,13.0461339265,11.5705470604
"Global.ap total import to from[CowSheepGoat, RSEASIA, CCAmerica]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, RSEASIA, Brazil]",11.3786449482,13.5944671098,0,0,0,0,0,0,0,0.818195900984,1.89126827536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, RSEASIA, SOAmer]",13.2301539062,17.0280612572,20.4736031989,33.0953399133,52.2667629269,65.8951560897,69.2970036293,103.225557485,112.874616686,109.375223659,107.820969845,106.438534631,115.278232961,124.183589095,132.122783261,137.883098626,144.835528986,152.919104348,160.036055169,166.462377048,172.67490348,185.111713098,200.210566876,216.882701316,229.948204356,241.520752734,252.597297664,264.03557378,275.496722984,286.733670023
"Global.ap total import to from[CowSheepGoat, RSEASIA, REurope]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, RSEASIA, EU27]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, RSEASIA, OthCEECIS]",0.280594516149,0.700597602129,0.400713175319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, RSEASIA, MEASNAfr]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, RSEASIA, SSAFR]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, RSEASIA, Russia]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, RSEASIA, CHIHKG]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, RSEASIA, INDIA]",8.599600039,12.9974417847,22.1652644835,42.5303270023,72.0299967707,96.680893921,105.141272639,151.444461882,175.996310847,176.185385633,175.254898704,152.776996217,155.638972216,160.560562627,165.987055001,170.935485724,178.807019559,188.527103175,197.985041788,207.786443579,218.135536398,237.255715013,256.548522704,275.864900119,291.781637242,305.686243905,318.572228091,331.597180542,344.497666658,357.039465218
"Global.ap total import to from[CowSheepGoat, RSEASIA, RSASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, RSEASIA, EASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, RSEASIA, Japan]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, RSEASIA, RSEASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, RSEASIA, MALAINDO]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, RSEASIA, OCEANIA]",54.3867409978,98.2960939695,106.950140678,135.627821666,186.895770256,229.512545458,218.180815998,308.058844796,343.173112413,340.050447285,320.57957058,289.656785059,287.708257588,288.198208548,288.717150871,289.252370377,293.807937548,299.892031016,305.470706259,310.91988133,316.896673552,334.499531322,356.718032601,381.469007891,401.83852967,420.826281478,438.597092606,456.234025578,473.331127104,489.576047177
"Global.ap total import to from[CowSheepGoat, MALAINDO, CAN]",4.6407006201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0257003470536,2.00870293768,3.97339680414,5.97115145637,8.06012089285,10.209133106,11.6040737841,12.6230353692,13.281092267,13.5167300092,13.6485302066,13.8897772017,14.0864547651,14.2141860723,14.2517926319
"Global.ap total import to from[CowSheepGoat, MALAINDO, USA]",1.44566221762,0.287504994409,0.601158721202,1.0655724622,1.20544136808,1.07900613318,1.45270082022,1.29503806834,1.23028605389,1.10355686006,1.02141789696,1.31014045578,1.54220851106,1.72534497273,1.85557789972,1.91339526851,1.83180451529,1.77333920237,1.7426782294,1.72473667112,1.70155096195,1.53439568532,1.36957580847,1.20984220726,1.047300607,0.899938633751,0.779036442078,0.670760276487,0.575322930544,0.491843799787
"Global.ap total import to from[CowSheepGoat, MALAINDO, CCAmerica]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, MALAINDO, Brazil]",17.9873200081,16.2902600181,0,0,0,0,0,0,0,0.921071127077,2.11943819134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, MALAINDO, SOAmer]",20.9141785467,20.3106367007,39.4986956354,71.87779693,89.9780201111,96.0784632769,130.092669435,131.15104606,136.188035148,125.012764338,122.803014969,160.225634544,198.507199897,234.229359266,266.246370146,288.142163478,295.099473055,307.397790822,323.718146863,342.901231995,362.843505713,363.465508183,367.311247127,373.4579247,371.341758534,367.765891943,368.456842214,369.397748682,370.47867737,371.458036445
"Global.ap total import to from[CowSheepGoat, MALAINDO, REurope]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, MALAINDO, EU27]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, MALAINDO, OthCEECIS]",0.443562777244,0.819588034579,0.759685847975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, MALAINDO, MEASNAfr]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, MALAINDO, SSAFR]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, MALAINDO, Russia]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, MALAINDO, CHIHKG]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, MALAINDO, INDIA]",13.5942160554,15.5596382262,43.1269614413,93.7021777888,126.10396888,143.408210002,200.781827275,195.127871576,215.515969653,204.370278677,202.548910156,233.374122059,271.972302707,307.328400692,339.4514029,362.52768611,369.746931337,384.638129427,406.471294851,434.43092579,465.223821785,472.800182794,477.672270689,482.081068987,478.199929667,472.393010339,471.607559552,470.829144271,470.175816349,469.441035746
"Global.ap total import to from[CowSheepGoat, MALAINDO, RSASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, MALAINDO, EASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, MALAINDO, Japan]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, MALAINDO, RSEASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, MALAINDO, MALAINDO]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, MALAINDO, OCEANIA]",85.9743597748,118.171055681,208.721988832,298.096423699,325.33034077,338.302214716,414.106478861,395.722506756,418.702759885,393.079085097,369.296106093,441.043808106,501.151381017,549.881039436,588.565318152,611.527125154,605.661641677,609.985205095,625.2902867,648.205118189,674.007294767,664.851593337,662.543369864,665.056411926,657.072026403,648.87730448,647.86329108,646.386494544,644.608453069,642.311580333
"Global.ap total import to from[CowSheepGoat, OCEANIA, CAN]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, OCEANIA, USA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, OCEANIA, CCAmerica]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, OCEANIA, Brazil]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, OCEANIA, SOAmer]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, OCEANIA, REurope]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, OCEANIA, EU27]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, OCEANIA, OthCEECIS]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, OCEANIA, MEASNAfr]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, OCEANIA, SSAFR]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, OCEANIA, Russia]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, OCEANIA, CHIHKG]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, OCEANIA, INDIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.ap total import to from[CowSheepGoat, OCEANIA, RSASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
