Years,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
"Global.cp total import to from[OilCrop, OthCEECIS, USA]",78.9800846439,498.742426862,381.172110038,506.045408548,455.648988559,340.541885463,244.693650772,0,0,76.1175267876,122.220417803,44.2233651189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, OthCEECIS, CCAmerica]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, OthCEECIS, Brazil]",55.0423354353,268.044522536,211.32141871,389.709973178,348.437778414,274.391361395,177.165792683,0,0,71.4662424612,118.877857204,45.383293835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, OthCEECIS, SOAmer]",50.0324183208,222.510231073,146.530840486,291.436130973,206.493240378,133.158259737,93.2244089752,0,0,28.9885987312,51.6606334117,20.2578378453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, OthCEECIS, REurope]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, OthCEECIS, EU27]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, OthCEECIS, OthCEECIS]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, OthCEECIS, MEASNAfr]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, OthCEECIS, SSAFR]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, OthCEECIS, Russia]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, OthCEECIS, CHIHKG]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, OthCEECIS, INDIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, OthCEECIS, RSASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, OthCEECIS, EASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, OthCEECIS, Japan]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, OthCEECIS, RSEASIA]",0,59.7607865288,13.1437909061,10.0096290458,6.23585232381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, OthCEECIS, MALAINDO]",76.6544756969,390.02462369,266.518423666,424.7762933,327.395538551,259.280530715,133.355970639,0,0,59.5255567181,90.6861059561,31.4693081366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, OthCEECIS, OCEANIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, MEASNAfr, CAN]",16.0569755793,52.6503850158,76.1769142134,133.903777874,149.36881599,190.92102153,160.817111377,166.091352573,184.761674553,183.154445319,183.888286658,187.877035538,199.152146418,210.278426357,222.000407225,233.016769501,242.371038915,248.389127843,252.872096494,255.8394546,258.399902572,263.767975958,271.143528129,277.732398046,283.776289566,288.375507003,292.579264406,295.796371983,298.934582737,301.99724417
"Global.cp total import to from[OilCrop, MEASNAfr, USA]",1525.40906586,1937.69984998,1913.26866835,1694.1877093,2136.38092573,2503.68626516,2182.36003012,2284.40769365,2520.48135624,2311.02935352,2216.06022931,2198.84096106,2235.07371518,2277.94318402,2335.30841426,2393.75962641,2456.98791123,2517.04574723,2580.91894226,2640.32490881,2704.46972898,2853.85109832,2999.3918401,3122.26198584,3234.61432242,3330.96635375,3425.70834199,3512.61669829,3601.45104005,3680.81987566
"Global.cp total import to from[OilCrop, MEASNAfr, CCAmerica]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, MEASNAfr, Brazil]",1063.07910226,1041.39893286,1060.7141465,1304.70869925,1633.70454516,2017.3432759,1580.09635083,2034.3129722,2262.10740171,2291.28617322,2222.93875266,2304.7123076,2447.64812823,2586.97531158,2737.77458948,2889.72289649,3047.9519355,3202.22558959,3358.98996694,3508.00310673,3661.1217626,3848.69366404,4031.19496767,4190.09081327,4344.06217436,4483.10158189,4623.9267952,4756.75260719,4893.14546363,5034.26998966
"Global.cp total import to from[OilCrop, MEASNAfr, SOAmer]",966.318342626,864.490402553,735.502044003,975.698035791,968.175571795,978.988254388,831.444638376,1235.00852615,1100.31719291,982.768293494,1044.86327902,1115.26752458,1188.53277307,1251.02739648,1314.71234977,1377.40278463,1442.58285812,1505.53764288,1569.02094066,1628.53874515,1690.07766228,1773.74928748,1849.70809714,1913.22737632,1974.20230605,2027.28409587,2079.93621833,2128.10819999,2177.21181506,2225.40633299
"Global.cp total import to from[OilCrop, MEASNAfr, REurope]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, MEASNAfr, EU27]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, MEASNAfr, OthCEECIS]",0,0,0,0,0,0,0,22.5816825571,9.01931156963,0,0,0,8.37018377285,16.2789396338,25.7827153347,35.81769931,43.4016349315,55.7977002313,65.4857427539,71.9900974107,82.1110866886,89.4787954352,94.573104585,98.0416543266,96.1004297386,95.2766850786,96.2625798091,95.1941918417,95.696222275,98.0929951473
"Global.cp total import to from[OilCrop, MEASNAfr, MEASNAfr]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, MEASNAfr, SSAFR]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, MEASNAfr, Russia]",0,0,0,0,0,0,0,16.4347245686,10.1636507668,0,0,0,4.0120958477,10.8242883422,16.8033516798,22.5763470739,28.4090344963,34.3636155972,40.5738862888,46.9188284156,53.5759121904,60.964898877,68.5046878231,76.0722187239,84.1094577999,92.1804492094,100.513644412,108.900131146,117.610285452,127.656533341
"Global.cp total import to from[OilCrop, MEASNAfr, CHIHKG]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, MEASNAfr, INDIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, MEASNAfr, RSASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, MEASNAfr, EASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, MEASNAfr, Japan]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, MEASNAfr, RSEASIA]",0,232.180903116,65.974405424,33.5112031798,29.2377604137,0,0,1.07028056993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, MEASNAfr, MALAINDO]",1480.49261652,1515.31254232,1337.7719306,1422.10711362,1535.04474122,1906.2474582,1189.36776325,1861.87510283,1896.97523575,1875.10818586,1695.03947841,1616.17546804,1570.67664226,1552.87467469,1560.06047668,1574.84988435,1595.12471575,1614.32636705,1636.92203157,1657.7197957,1682.12938233,1724.06315396,1773.79642944,1821.98064994,1870.16401613,1909.41903377,1947.87967612,1983.1709137,2020.55236582,2048.18447199
"Global.cp total import to from[OilCrop, MEASNAfr, OCEANIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, SSAFR, CAN]",4.18068923248,9.689251043,15.9363169466,43.7993247003,55.1255670481,76.1784139909,67.8445656514,63.5808234054,68.3686629133,73.6217488792,81.9125658491,87.7386992256,95.7957317394,102.18229225,107.717472081,112.964310321,117.366446306,120.57843885,122.890236446,124.722544821,126.136874443,128.124606697,129.760375138,131.44587597,133.402966775,135.589588084,137.764541815,139.826513157,141.737008791,148.269526471
"Global.cp total import to from[OilCrop, SSAFR, USA]",736.083198459,1470.54313393,1622.68750449,1690.11047338,2374.60601577,2838.16429401,2709.18763894,2570.02226395,2737.04544125,2721.92644458,2887.02193584,3001.0170363,3140.88388868,3233.11663052,3308.90058182,3388.05882507,3472.95999691,3566.1699498,3660.4455758,3756.39402735,3852.82123133,4045.76835154,4189.10043601,4312.29273719,4437.19367902,4570.0377662,4706.69898662,4845.00716209,4982.53045141,5273.03813578
"Global.cp total import to from[OilCrop, SSAFR, CCAmerica]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, SSAFR, Brazil]",0,0,0,0,0,22.239559093,2.91576750216,88.6403119872,132.593370478,83.498648926,89.8192216547,97.638742323,106.812687213,114.050233095,120.520404439,127.101297653,133.914908197,141.053421916,148.141716502,155.224843825,162.24325673,169.731190721,175.143407687,180.023351228,185.372492582,191.332850238,197.622760341,204.095428594,210.581055829,224.342828636
"Global.cp total import to from[OilCrop, SSAFR, SOAmer]",322.942943814,579.474092809,422.380746513,656.011330898,724.501387299,742.339342818,689.150502478,955.991887971,807.659183929,780.13234705,917.487267533,1026.59318023,1126.93120994,1198.34383978,1257.46898797,1316.27090925,1377.00182564,1440.70973797,1503.24729625,1565.35476774,1626.87570289,1699.14035715,1745.64239599,1785.54371022,1829.97578615,1879.46596206,1931.02559489,1983.4909682,2035.38353319,2154.26210827
"Global.cp total import to from[OilCrop, SSAFR, REurope]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, SSAFR, EU27]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, SSAFR, OthCEECIS]",0,0,0,0,0,0,0,22.3614431463,8.52193301188,0,0,0,6.11949103384,11.1349009152,17.1078855234,23.4656146878,28.3194564048,36.2542795219,42.5032225261,46.8873262203,53.4478460518,57.6895669386,60.0861730385,61.7424997294,60.1078508474,59.6034207636,60.3072964442,59.872567889,60.3703902181,64.07798892
"Global.cp total import to from[OilCrop, SSAFR, MEASNAfr]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, SSAFR, SSAFR]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, SSAFR, Russia]",0,0,0,0,0,0,0,16.2103063762,8.52657745032,0,0,0,3.20344976433,7.48205420182,11.2581801242,14.9422167226,18.6662772179,22.5408146126,26.5586530132,30.7299632682,35.0596524283,39.3125150019,43.1304236205,47.0615250963,51.4510450111,56.2041987937,61.2047196329,66.430932643,71.8366397318,80.6463062272
"Global.cp total import to from[OilCrop, SSAFR, CHIHKG]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, SSAFR, INDIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, SSAFR, RSASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, SSAFR, EASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, SSAFR, Japan]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, SSAFR, RSEASIA]",0,2.9384180021,0.249355832979,0.135552276615,0.124493358333,0,0,0.00429672611656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, SSAFR, MALAINDO]",0,0,0,0,0,0,0,48.8325065382,10.6494692178,11.4279052333,11.4344028264,11.419733921,11.4247158985,11.4061401546,11.4376401111,11.5318470765,11.6632284272,11.8297065335,12.0063413033,12.1956820899,12.3908624295,12.6372079819,12.8095826381,13.0122592383,13.2664826003,13.5473193181,13.8400578485,14.1461110065,14.4562883686,15.1739420431
"Global.cp total import to from[OilCrop, SSAFR, OCEANIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, Russia, CAN]",2.29836640945,1.9274855619,6.84322599933,15.89489821,17.2819626971,24.6315528326,14.8049105654,0,0,4.978350636,4.14031468929,1.21886181123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, Russia, USA]",404.66746123,292.53557847,696.799477364,613.345847721,744.443182764,917.692953858,591.193713369,0,0,187.904096673,145.688202672,41.215924858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, Russia, CCAmerica]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, Russia, Brazil]",0,0,0,0,0,7.19094617587,0.636273173608,0,0,0.376286762231,0.304461079773,0.09108412863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, Russia, SOAmer]",177.540394169,115.274951844,181.374838103,238.068358372,227.132465384,240.028241393,150.385096541,0,0,48.3801269954,41.6365390394,12.7875483958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, Russia, REurope]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, Russia, EU27]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, Russia, OthCEECIS]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, Russia, MEASNAfr]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, Russia, SSAFR]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, Russia, Russia]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, Russia, CHIHKG]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, Russia, INDIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, Russia, RSASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, Russia, EASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, Russia, Japan]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, Russia, RSEASIA]",0,0.584540358046,0.107076078183,0.0491923027048,0.0390288878639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, Russia, MALAINDO]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, Russia, OCEANIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, CHIHKG, CAN]",59.5532223598,200.591016192,334.815800418,678.88208994,722.121914241,861.505125187,834.472564683,789.030917624,808.919406797,809.696131167,1045.89167744,1240.58378259,1442.3633056,1615.41048338,1765.93649683,1899.63907283,2008.64394712,2086.73792138,2142.72956612,2184.25674853,2213.63697597,2256.83292905,2300.77383475,2334.881565,2359.1985687,2380.09230157,2397.26566407,2410.21663588,2419.42221357,2428.53654401
"Global.cp total import to from[OilCrop, CHIHKG, USA]",5657.54271969,7382.38062009,8409.27447933,8589.40435512,10328.3103197,11297.5435183,11324.1654187,10852.2705778,11035.1147686,10216.6863779,12604.1685017,14519.3180688,16187.5649853,17499.7186529,18576.5711498,19514.8157235,20362.2261065,21145.9126904,21869.5989079,22542.0567339,23168.4073131,24417.9192334,25451.1782504,26248.6911975,26891.2441255,27491.9581686,28068.7457467,28621.6059545,29148.2857807,29599.6263294
"Global.cp total import to from[OilCrop, CHIHKG, CCAmerica]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, CHIHKG, Brazil]",3942.821352,3967.59245236,4662.09296665,6614.77504648,7898.12683216,9102.98697086,8199.04699835,9664.17460229,9903.90773369,10129.4049763,12643.291115,15218.4044429,17727.1393187,19873.7793077,21778.0504464,23558.0921303,25259.8257356,26902.1660837,28462.6386788,29949.9522921,31363.7676583,32929.9209402,34206.4882329,35225.8716103,36114.7341795,37001.0465629,37886.4201528,38759.110498,39602.5937197,40483.5106223
"Global.cp total import to from[OilCrop, CHIHKG, SOAmer]",3583.9483497,3293.59430675,3232.70781069,4946.71571037,4680.63425819,4417.55125702,4314.32783387,5867.01171112,4817.38397927,4344.65941401,5942.81358235,7364.29974152,8607.97179554,9610.69952006,10458.0822635,11229.0980358,11955.3694994,12648.1481648,13295.2097365,13903.8239817,14478.404861,15176.4283944,15695.5986417,16084.4012511,16412.7005181,16732.0842183,17042.0815356,17340.313379,17621.2286339,17895.794446
"Global.cp total import to from[OilCrop, CHIHKG, REurope]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, CHIHKG, EU27]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, CHIHKG, OthCEECIS]",0,0,0,0,0,0,0,107.276179244,39.4881469994,0,0,0,60.621219265,125.058809876,205.09258774,291.999160635,359.689968283,468.761165233,554.898065478,614.623168041,703.421850477,765.592150665,802.494995922,824.230996815,798.939180711,786.361182445,788.733192625,775.664093774,774.5158282,788.82316983
"Global.cp total import to from[OilCrop, CHIHKG, MEASNAfr]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, CHIHKG, SSAFR]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, CHIHKG, Russia]",0,0,0,0,0,0,0,78.0745391403,44.4982671273,0,0,0,29.0576824471,83.1548398285,133.664853914,184.050749288,235.439165669,288.691620303,343.805690579,400.574523424,458.969291649,521.623562536,581.292846592,639.535114941,699.251205094,760.806560165,823.564544151,887.343228649,951.876944312,1026.56087857
"Global.cp total import to from[OilCrop, CHIHKG, CHIHKG]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, CHIHKG, INDIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, CHIHKG, RSASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, CHIHKG, EASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, CHIHKG, Japan]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, CHIHKG, RSEASIA]",0,884.578589168,289.973328366,169.899281501,141.349634314,0,0,5.08445772235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, CHIHKG, MALAINDO]",5490.9534836,5773.14074,5879.82834888,7209.97618394,7421.15708443,8601.68221368,6171.57440058,8844.99402365,8305.29429938,8289.54951632,9640.78634703,10671.8794542,11375.6562232,11929.5643987,12409.7417995,12838.7599767,13219.5563444,13562.091372,13870.5744252,14152.9603265,14410.3142533,14751.3074075,15051.4542655,15317.2948539,15547.7692546,15759.2910368,15960.0683759,16159.3311505,16353.3079136,16470.6497663
"Global.cp total import to from[OilCrop, CHIHKG, OCEANIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, INDIA, CAN]",5.23456655974,6.53241821397,68.8176708815,71.7887509458,97.6112547532,63.4315556248,128.36552503,48.7992369222,67.2976901427,70.9551616688,53.993612543,62.6415043678,68.6219663338,72.6720819509,75.8483891185,78.7179676491,81.1057438705,82.8601149926,84.1480604498,85.2187995648,86.0858132763,86.9788647658,88.1165360318,88.8235970078,89.1471292268,89.4471769077,89.8045009999,90.1784390408,90.5234367208,94.4021785864
"Global.cp total import to from[OilCrop, INDIA, USA]",497.282644957,240.413546632,1728.43301525,908.291173327,1396.10682062,831.824140277,1741.97750894,671.180952786,918.061463412,895.307024158,650.683627368,733.132206776,770.14059851,787.255623969,797.878632434,808.662368957,822.193250123,839.661147283,858.850486787,879.478575898,900.992894282,941.072273239,974.745814425,998.553076037,1016.14050082,1033.18600048,1051.48951293,1070.87956717,1090.59220362,1150.59796722
"Global.cp total import to from[OilCrop, INDIA, CCAmerica]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, INDIA, Brazil]",346.563292168,129.208045771,958.241453951,699.482937333,1067.61206811,670.241659059,1261.24574639,597.70071811,823.951197442,887.65839435,652.703311882,768.431573716,843.387482752,894.056918276,935.38473635,976.209197163,1019.95028002,1068.23025182,1117.76860598,1168.49769748,1219.70109624,1269.12679416,1310.06238309,1340.0630983,1364.66888273,1390.55075952,1419.27159242,1450.17507194,1481.74339578,1573.67679272
"Global.cp total import to from[OilCrop, INDIA, SOAmer]",315.019329598,107.258718996,664.447203192,523.093107615,632.694527022,325.258829104,663.665866303,362.857383813,400.780116797,380.730497839,306.794652738,371.849786284,409.533401509,432.354222231,449.183022367,465.315642613,482.738186567,502.232216435,522.1219375,542.457836004,563.048625829,584.903071891,601.120267611,611.883016365,620.187360849,628.814981722,638.417198079,648.789146055,659.303765272,695.646103168
"Global.cp total import to from[OilCrop, INDIA, REurope]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, INDIA, EU27]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, INDIA, OthCEECIS]",0,0,0,0,0,0,0,6.63471553538,3.28519882048,0,0,0,2.88411889803,5.62599052904,8.80889116234,12.099972468,14.5236902151,18.6135516383,21.7916421632,23.9795292383,27.3552722204,29.5060991362,30.7344764425,31.3554070579,30.1895462858,29.5525462407,29.5469091505,29.0215311584,28.9787512779,30.6631687035
"Global.cp total import to from[OilCrop, INDIA, MEASNAfr]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, INDIA, SSAFR]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, INDIA, Russia]",0,0,0,0,0,0,0,4.82868015435,3.70201353541,0,0,0,1.38245010732,3.74086673127,5.74101269739,7.62676507103,9.50664685757,11.4633565675,13.5017421196,15.6284191616,17.8487914547,20.1034931387,22.2627323417,24.3292037478,26.4226328251,28.5921680158,30.8517341391,33.2000144974,35.6147727549,39.9045192989
"Global.cp total import to from[OilCrop, INDIA, CHIHKG]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, INDIA, INDIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, INDIA, RSASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, INDIA, EASIA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, INDIA, Japan]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Global.cp total import to from[OilCrop, INDIA, RSEASIA]",0,28.8070592456,59.6007985616,17.9660907045,19.1066285238,0,0,0.314458725852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
